VOLCANX020,NUMBER,NAME,LOCATION,STATUS,ELEV,TYPE,TIMEFRAME,LAT,LON
1405,453,Tolim?n,Guatemala,no data,3158,Stratovolcano,no data,14.61,-91.19
1407,454,Towada,Japan,no data,1159,Caldera,no data,40.47,140.92
1409,455,Traitor's Head,Vanuatu,no data,1881,Stratovolcano,no data,-18.75,169.23
1411,456,Tri Sestry,Russia,no data,998,Stratovolcano,no data,45.93,149.92
1413,457,Tristan da Cunha,United Kingdom,no data,2060,Shield,no data,-37.09,-12.28
1415,458,Tsurumi,Japan,no data,1584,Lava dome,no data,33.28,131.43
1417,459,Tungurahua,Ecuador,no data,2011,Stratovolcano,no data,-1.47,-78.44
1421,461,Ubinas,Peru,no data,5672,Stratovolcano,no data,-16.36,-70.90
1423,462,Udina,Russia,no data,2923,Stratovolcano,no data,55.76,160.53
1425,463,Ugashik and Peulik,United States,no data,1474,Stratovolcano,no data,57.75,-156.37
1427,464,Uinkaret Volcanic Field,United States,no data,1555,Volcanic field,no data,36.38,-113.13
1429,465,Ulawun,Papua New Guinea,no data,2334,Stratovolcano,no data,-5.05,151.33
1431,466,Umboi,Papua New Guinea,no data,1548,Complex,no data,-5.59,147.88
1433,467,Undara,Australia,no data,1020,Shield,no data,-18.25,144.75
1435,468,Ungaran and Telomoyo,Indonesia,no data,2050,Stratovolcano,no data,-7.18,110.33
1437,469,Unzen,Japan,no data,1500,Complex,no data,32.76,130.29
1441,471,Ushishur,Russia,no data,401,Caldera,no data,47.52,152.80
1443,472,Usu,Japan,no data,737,Stratovolcano,no data,42.54,140.84
1445,473,Uzon,Russia,no data,1617,Caldera,no data,54.50,159.97
1447,474,Veniaminof,United States,no data,2507,Stratovolcano,no data,56.17,-159.38
1449,475,Vernadskii Ridge,Russia,no data,1183,Cinder Cone,no data,50.55,155.97
1451,476,Vesuvius,Italy,no data,1281,Somma,no data,40.82,14.43
